Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
HI2,3.084996,HI2,1.774899,HI2,1.828645,t2m,0.46018173290025366,HI2,1.848634106494652,RF,2.2688050596676694,1.1242968277945575,0.9198101788494517
t2m,2.565074,f10m,1.166246,f10m,1.336187,HI2,0.41222991977974976,t2m,1.5346037468076548,MLP,2.4367671965987703,1.1769284527827597,0.9138736380862087
tmax,0.354021,t2m,1.120885,t2m,1.099476,tmax,0.02719458743452459,tmax,0.8834484439240279,,,,
tmin,0.243852,tmin,1.002440,tmin,1.027231,tmin,0.016192307194209124,tmin,0.6813764675523264,,,,
g10m,0.167785,u100m,0.797157,tmax,0.884846,ssrd0,0.011356822926719775,ssrd0,0.22593403193578668,,,,
ssrd0,0.127998,tmax,0.754933,u100m,0.831054,g10m,0.007333973781188345,g10m,0.15652746822487798,,,,
u100m,0.113117,f100m,0.650009,f100m,0.825379,rrr06,0.005954603995562583,f100m,0.11254248750262569,,,,
v10m,0.103369,ssrd0,0.437035,u10m,0.486498,u100m,0.0051113224809913385,u100m,0.1051031808587803,,,,
f100m,0.089511,u10m,0.421595,rh,0.341290,u10m,0.004652277081942147,v10m,0.0958991598062469,,,,
u10m,0.086868,rh,0.402695,gust10_inst,0.335532,f100m,0.004092637648905866,rrr06,0.09343780367557544,,,,
f10m,0.069620,gust10_inst,0.324565,v10m,0.325413,vvvv,0.0039584567661376125,u10m,0.07865752707074723,,,,
rh,0.063635,v10m,0.268631,g10m,0.236904,cra,0.003754368001686563,f10m,0.07475154965060846,,,,
gust10_inst,0.032169,cra,0.247033,ssrd0,0.154700,lcldc,0.003538771614220218,rh,0.07085224571395317,,,,
lcldc,0.027327,g10m,0.208233,mcldc,0.110931,f10m,0.0034729185391590123,cra,0.06838103102794257,,,,
rrr06,0.021857,mcldc,0.178157,rrr06,0.099914,v10m,0.00314062711011829,vvvv,0.0515900556147344,,,,
cra,0.019687,rrr06,0.122068,cra,0.055763,tcldc,0.002947554388322659,mcldc,0.04746933086932971,,,,
vvvv,0.019266,tcldc,0.051932,vvvv,0.052217,mcldc,0.002919016226245583,lcldc,0.03056897807180563,,,,
pmsl,0.017234,vvvv,0.043151,tcldc,0.043303,pmsl,0.0028777040569092516,gust10_inst,0.029089053177632086,,,,
mcldc,0.014081,pmsl,0.013072,pmsl,0.027253,rh,0.0028507963247141545,pmsl,0.013788146898700433,,,,
tcldc,0.008321,lcldc,0.008506,lcldc,0.018145,gust10_inst,0.0027018000141977956,tcldc,0.01094453570373172,,,,
