Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
HI2,3.124373,t2m,2.217042,t2m,2.210768,t2m,0.4794711358247729,HI2,2.0845735914587866,RF,2.3625390377643383,1.144610271903316,0.9171988050619408
t2m,2.692667,HI2,1.800127,HI2,1.817149,HI2,0.4086759213008362,t2m,1.9896326905499193,MLP,2.8257302693976216,1.291375202282677,0.9009650891948116
g10m,0.163494,f10m,1.043825,f10m,1.231582,tmax,0.013338026810594632,tmin,0.4654653350161284,,,,
u100m,0.157871,u100m,0.521181,v100m,0.691226,ssrd0,0.009383242261421579,tmax,0.42041337201982903,,,,
tmin,0.139123,tmin,0.517991,u100m,0.538253,tmin,0.009134242209819385,u100m,0.16819566384519072,,,,
f10m,0.109614,v100m,0.429860,f100m,0.498782,g10m,0.007312358363010209,g10m,0.14406903091830067,,,,
tmax,0.090681,f100m,0.385038,tmin,0.472152,u100m,0.007007856480402178,f10m,0.1298208585076267,,,,
f100m,0.081604,u10m,0.368704,u10m,0.437311,rrr06,0.005176137125275795,ssrd0,0.11742819883760522,,,,
u10m,0.078025,tmax,0.357597,rrr06,0.428573,cra,0.004824148082552458,f100m,0.09914075047138708,,,,
ssrd0,0.072816,ssrd0,0.345842,tmax,0.414108,f10m,0.004534819455192934,rrr06,0.09627440080762296,,,,
v100m,0.070879,gust10_inst,0.268458,v10m,0.413270,f100m,0.004347207152695609,cra,0.08017115824275084,,,,
v10m,0.055267,mcldc,0.238452,gust10_inst,0.280189,u10m,0.004145775578861118,v100m,0.079605030713862,,,,
gust10_inst,0.053018,v10m,0.221242,mcldc,0.192619,lcldc,0.003835148265318768,vvvv,0.07538523519890826,,,,
pmsl,0.031993,cra,0.189457,vvvv,0.146828,tcldc,0.0037261220486682315,u10m,0.07132464237726609,,,,
cra,0.025292,g10m,0.126104,ssrd0,0.135997,gust10_inst,0.0035971058090196245,v10m,0.06304537488328045,,,,
tcldc,0.024779,tcldc,0.100405,cra,0.127044,v100m,0.0035929269127224547,gust10_inst,0.06301571395260366,,,,
rrr06,0.024124,vvvv,0.099861,pmsl,0.119102,mcldc,0.003492876069985562,mcldc,0.04727035294304148,,,,
lcldc,0.021499,rrr06,0.055629,g10m,0.104182,pmsl,0.003409694585981739,tcldc,0.04670261334944266,,,,
vvvv,0.020513,pmsl,0.027273,tcldc,0.064502,vvvv,0.0032191406918367174,pmsl,0.04292805016145997,,,,
mcldc,0.016218,lcldc,0.008206,lcldc,0.016296,v10m,0.0030494551062889984,lcldc,0.020606365279142554,,,,
