Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
u10m,65.421305,u100m,40.110039,u100m,42.837497,u10m,0.4005421242960613,u10m,33.022498362917965,RF,5308.9704110271905,48.11922960725076,0.5142849518228707
rh,19.722939,f10m,26.444242,gust10_inst,32.447953,rh,0.0894973723013521,u100m,11.455432124035553,MLP,9938.039317665349,74.15522135132389,0.09077375230048024
u100m,10.394073,gust10_inst,25.717289,f10m,24.335376,v10m,0.038733622739829464,rh,11.299009871495219,,,,
g10m,9.467189,f100m,25.280338,v100m,23.826077,d10m,0.033541971925463786,g10m,6.72282893654916,,,,
vvvv,5.150656,rh,12.183682,f100m,20.502361,u100m,0.032472234809430095,d10m,6.47207956808468,,,,
f100m,4.360984,v10m,11.795687,cra,15.895284,f100m,0.03197680261516682,v10m,6.396031199936167,,,,
gust10_inst,4.153214,d10m,9.442564,u10m,15.822947,v100m,0.030853052529492025,f100m,4.753579226631187,,,,
v100m,3.826977,v100m,8.922994,v10m,14.591379,g10m,0.030284647620236027,d100m,3.5048650898160134,,,,
v10m,3.517432,u10m,8.456239,rh,14.590116,ssrd0,0.02738451824781009,v100m,3.3887975722776575,,,,
d10m,2.550559,g10m,6.253439,tdwpt,8.816577,vvvv,0.026884665230582222,vvvv,2.8163332650693214,,,,
pmsl,2.344536,lcldc,4.893655,rrr06,8.353625,pmsl,0.025708992780506517,gust10_inst,2.812533848062133,,,,
cape,1.501757,mcldc,4.308653,lcldc,7.862412,d100m,0.023255118449144303,pmsl,2.6708738226459317,,,,
ssrd0,1.042092,pmsl,4.292955,vvvv,7.768322,gust10_inst,0.022976201816222303,f10m,1.8659653361322102,,,,
d100m,1.013271,rrr06,3.823620,cape,7.311129,cape,0.019566628405647706,mcldc,1.773277494518814,,,,
tdwpt,1.012383,cra,3.506123,ssrd0,6.482515,lcldc,0.018176052341601245,rrr06,1.671671954705801,,,,
cra,0.972926,d100m,3.080679,mcldc,6.338447,mcldc,0.018010289502553338,tdwpt,1.654547983089313,,,,
lcldc,0.846629,ssrd0,2.973333,d100m,5.682713,rrr06,0.01741555219715508,ssrd0,1.4569098401155969,,,,
mcldc,0.674958,vvvv,2.887807,d10m,5.127742,f10m,0.015296459877074698,cape,1.37664536403824,,,,
f10m,0.669412,tdwpt,1.352451,pmsl,3.829084,tdwpt,0.01405510592925565,cra,1.2162619852589762,,,,
rrr06,0.388225,cape,0.442971,g10m,3.381459,cra,0.013481777582143684,lcldc,0.8314509811817626,,,,
