Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
g10m,3.454462,u10m,1.953878,u10m,2.318106,g10m,0.3103875360868945,g10m,2.0843687717067807,RF,18.471595736404833,3.225994712990936,0.6429471114202026
gust10_inst,1.688219,f100m,1.894380,g10m,2.276685,gust10_inst,0.1523196737142152,u100m,0.9826397109000395,MLP,23.152907281792608,3.6142780842197624,0.5524581339937193
f10m,1.389008,g10m,1.728780,f100m,1.890067,f10m,0.131669583143336,f10m,0.9808419849402871,,,,
u100m,0.646935,f10m,1.563672,u100m,1.579365,f100m,0.04489868598104755,gust10_inst,0.7911613859996323,,,,
f100m,0.345665,u100m,1.467039,f10m,1.538688,ssrd0,0.031035521075212066,f100m,0.6342348188121529,,,,
v100m,0.273911,tmax,1.042987,tmax,1.471534,u100m,0.031004749076956502,ssrd0,0.4086398747221893,,,,
ssrd0,0.242146,gust10_inst,1.036554,v100m,1.358099,rrr06,0.027103830458161463,cra,0.33626812761544866,,,,
rh,0.226559,tdwpt,0.984761,tdwpt,1.244343,rh,0.0209628069566346,rrr06,0.2956870545697374,,,,
tmax,0.219945,rrr06,0.942002,gust10_inst,0.885857,pmsl,0.018667972316782754,d100m,0.28373968820318896,,,,
d100m,0.210359,v100m,0.808799,rrr06,0.726708,cra,0.018167082157799483,rh,0.24793150323374596,,,,
tdwpt,0.171904,pmsl,0.786599,ssrd0,0.522812,lcldc,0.017484064034972848,u10m,0.23403182107996978,,,,
pmsl,0.143835,tcldc,0.480399,d100m,0.444197,vvvv,0.01610517135515612,tmax,0.23129087402220752,,,,
u10m,0.133668,d100m,0.428269,pmsl,0.438216,v100m,0.01584006869508607,tdwpt,0.22767297728500324,,,,
cape,0.111530,cape,0.381688,tcldc,0.357119,d100m,0.014232034138547841,v100m,0.20465533288179838,,,,
rrr06,0.104002,vvvv,0.357717,vvvv,0.309983,mcldc,0.013942883534542197,pmsl,0.16088749850822573,,,,
vvvv,0.101957,ssrd0,0.247245,rh,0.305667,tcldc,0.013692286929033647,cape,0.15519905986666974,,,,
tcldc,0.082160,rh,0.171709,cape,0.205223,u10m,0.013577157509599157,vvvv,0.1444348253530085,,,,
cra,0.073889,mcldc,0.154862,mcldc,0.160004,tmax,0.01355109702998572,tcldc,0.10140162684777178,,,,
lcldc,0.062462,lcldc,0.117221,lcldc,0.117588,tdwpt,0.013328592300062309,mcldc,0.09231274196014108,,,,
mcldc,0.036699,cra,0.033185,cra,0.079522,cape,0.013297834090809767,lcldc,0.08951447651536508,,,,
