Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
g10m,4.848343,g10m,2.795989,f10m,3.172079,g10m,0.3696081288016827,g10m,2.499735019550515,RF,27.127123301359514,3.898728851963746,0.6188520209131457
gust10_inst,1.434120,f10m,2.749273,g10m,2.896946,gust10_inst,0.09184683003615196,u100m,1.4778981793576877,MLP,35.27126443479417,4.3392227860916055,0.5044232663444232
u100m,1.143525,v100m,2.271661,v10m,2.541001,u100m,0.060809401953026726,gust10_inst,0.7296791724176032,,,,
f10m,0.642947,f100m,1.973191,v100m,2.056728,f10m,0.04558445248135956,f10m,0.7113356821197395,,,,
v100m,0.571938,rrr06,1.767889,f100m,2.027410,v100m,0.03480154606582598,ssrd0,0.553838645101591,,,,
rh,0.377916,v10m,1.640188,u10m,1.395499,ssrd0,0.03397684841926693,rh,0.5309229515744618,,,,
ssrd0,0.366155,u100m,0.824438,rrr06,1.209802,rh,0.030743819504551028,u10m,0.45259085470920285,,,,
f100m,0.304225,tdwpt,0.808303,u100m,1.198892,f100m,0.02554042308304643,f100m,0.4340566750942567,,,,
d10m,0.246484,u10m,0.784507,tdwpt,1.125416,rrr06,0.02486206123899864,v100m,0.33951013973040267,,,,
tmax,0.230957,tmax,0.758485,rh,0.975128,u10m,0.024531550913318382,d10m,0.32996724932856786,,,,
tcldc,0.221967,pmsl,0.758387,cra,0.810985,d10m,0.02442077248049821,cra,0.3115975197978666,,,,
vvvv,0.216904,ssrd0,0.640804,ssrd0,0.703105,vvvv,0.02222395911445907,v10m,0.26325163766380205,,,,
u10m,0.197577,rh,0.619631,tmax,0.700651,pmsl,0.02030745882955975,rrr06,0.24575995546852658,,,,
tdwpt,0.190629,d100m,0.533869,pmsl,0.606401,cra,0.0200237759610005,tdwpt,0.24195475622702284,,,,
d100m,0.185208,d10m,0.487267,d10m,0.588692,v10m,0.019134030903340492,d100m,0.23359865078500944,,,,
v10m,0.182408,cra,0.479360,lcldc,0.534309,d100m,0.019000708451836535,tcldc,0.2280016196691089,,,,
pmsl,0.169590,tcldc,0.328711,vvvv,0.403908,tcldc,0.0181307433140389,tmax,0.22213571276382246,,,,
rrr06,0.131961,lcldc,0.326138,d100m,0.375621,lcldc,0.016696999879678355,pmsl,0.2186230525141866,,,,
lcldc,0.112726,vvvv,0.314631,gust10_inst,0.287758,tmax,0.014177518900133723,vvvv,0.20490933388147348,,,,
cra,0.078354,gust10_inst,0.239989,tcldc,0.282338,tdwpt,0.014151594600219346,lcldc,0.10954168170983451,,,,
