Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
t2m,2.237547,sst,1.471518,sst,1.860410,t2m_lapse_adjusted,0.33751839132339245,t2m,1.347346197566428,RF,2.222778243202409,1.1006389728096615,0.9214369744900692
t2m_lapse_adjusted,1.767072,tmin,1.461100,tmin,1.567760,t2m,0.3133062306340565,HI2,1.120669401498694,MLP,2.1380381227181573,1.089425133650392,0.9244320731993887
HI2,1.669726,tmax,1.268802,tmax,1.320051,HI2,0.24294586832316176,t2m_lapse_adjusted,1.0740617308489837,,,,
sst,0.286435,skt,1.063191,f10m,1.141678,tmax,0.01349744819596976,tmax,0.6229092663202027,,,,
g10m,0.178770,f10m,0.967711,skt,1.132286,sst,0.009635578119532024,sst,0.4990171749243589,,,,
tmax,0.163758,t2m_lapse_adjusted,0.937795,t2m_lapse_adjusted,0.963326,g10m,0.007400151848060775,tmin,0.43526315494454176,,,,
tmin,0.120887,t2m,0.910623,t2m,0.902575,tmin,0.006440818379303736,g10m,0.15371066023711288,,,,
f10m,0.088498,f100m,0.764219,f100m,0.836575,ssrd0,0.005613170272400049,skt,0.14276447374060705,,,,
f100m,0.073075,HI2,0.733295,HI2,0.748689,skt,0.0046689435951435855,f10m,0.12002538006059597,,,,
t700p,0.069906,rh,0.291254,rh,0.252985,f10m,0.004457344993815722,ssrd0,0.10254836004084258,,,,
ssrd0,0.062500,tcldc,0.123361,ws925p,0.130275,f100m,0.0036968090737142124,rh,0.0791448329311664,,,,
rh,0.058239,mcldc,0.109112,tcldc,0.119544,mcldc,0.002664566193832999,t700p,0.07828260633228289,,,,
skt,0.057313,rh850p,0.090003,g10m,0.083402,rh850p,0.0021938695774865527,u500p,0.0678254355126166,,,,
ws925p,0.045049,lcldc,0.057016,t700p,0.070672,ws925p,0.0021705581482270807,f100m,0.059387516327616185,,,,
lcldc,0.027083,ws700p,0.053402,ws700p,0.061706,rh,0.0020396993803357875,ws925p,0.057820886826882606,,,,
rh850p,0.026104,g10m,0.042411,rh850p,0.056823,tcldc,0.001979237719545537,mcldc,0.05450672711705096,,,,
ws700p,0.022228,u500p,0.036640,lcldc,0.056155,t700p,0.0018885560147292911,lcldc,0.03934209030116517,,,,
tcldc,0.020714,t700p,0.035503,mcldc,0.039942,ws700p,0.00180009531523518,ws700p,0.038867830906351486,,,,
u500p,0.019532,ws925p,0.028767,u500p,0.036464,lcldc,0.0017619667941643018,tcldc,0.030113835937111484,,,,
mcldc,0.017855,ssrd0,0.008491,ssrd0,0.015039,u500p,0.001708114276481547,rh850p,0.028213169717768202,,,,
