Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
t2m,2.267336,skt,1.872239,skt,1.992088,t2m_lapse_adjusted,0.3291216146180433,t2m,1.533764291971895,RF,2.3369573889727935,1.1221412386706868,0.91809537906752
t2m_lapse_adjusted,1.840050,sst,1.294002,sst,1.844119,t2m,0.31844212654348497,t2m_lapse_adjusted,1.4861043968329581,MLP,2.535754991326403,1.1801805017938032,0.9111280110102808
HI2,1.731685,t2m,1.210866,f10m,1.290307,HI2,0.25227069253495227,HI2,1.3559680975065793,,,,
sst,0.302422,f10m,1.097283,t2m,1.262739,sst,0.01106580231381334,sst,0.5267733261645481,,,,
g10m,0.172335,HI2,1.073853,HI2,1.127044,tmax,0.006543842849266665,tmax,0.252795778260398,,,,
f10m,0.147961,tmin,0.977624,tmin,1.089347,f10m,0.006313542549911536,f10m,0.1938417198923558,,,,
t700p,0.097332,t2m_lapse_adjusted,0.865947,f100m,0.999468,g10m,0.0062788469292445696,g10m,0.1347789977118496,,,,
f100m,0.062348,f100m,0.844391,t2m_lapse_adjusted,0.892272,skt,0.0043733641433592475,skt,0.12631422206270015,,,,
ws925p,0.052920,tmax,0.411079,tmax,0.385414,ssrd0,0.003905890129350611,t700p,0.10818715868350358,,,,
ws700p,0.047182,ws700p,0.195682,v850p,0.355989,mcldc,0.0032636748286178703,tmin,0.10153842912565825,,,,
v850p,0.038939,mcldc,0.157722,ws700p,0.205387,f100m,0.0031094267814545037,u500p,0.09079495334097137,,,,
u500p,0.034288,v850p,0.141246,ws925p,0.178156,ws925p,0.0025584538626291556,ws925p,0.07900254253580842,,,,
v250p,0.031668,ws925p,0.102270,u500p,0.172954,u500p,0.0021400402866331783,ssrd0,0.06762540065444886,,,,
tmin,0.027985,tcldc,0.090405,g10m,0.158409,t700p,0.002090992664484605,ws700p,0.06518340951932614,,,,
skt,0.026271,g10m,0.087232,ssrd0,0.146749,ws700p,0.0019939896757580782,v850p,0.06432968646661345,,,,
ssrd0,0.022800,u500p,0.086992,v250p,0.133942,v250p,0.001977044666438048,v250p,0.06026427681923246,,,,
rh850p,0.022009,v250p,0.038997,tcldc,0.120464,tmin,0.0019091961189761726,mcldc,0.05391452419361087,,,,
mcldc,0.021662,ssrd0,0.037429,mcldc,0.095452,tcldc,0.0018557184027696925,f100m,0.05229026209485477,,,,
tmax,0.018823,rh850p,0.036982,t700p,0.080720,rh850p,0.0018256396076395396,rh850p,0.029799295939954815,,,,
tcldc,0.010891,t700p,0.035116,rh850p,0.050001,v850p,0.0017947697411120607,tcldc,0.010622096923429785,,,,
