Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
u10m,66.258581,u10m,35.171272,v100m,53.225599,u10m,0.4000887798432685,u10m,33.44859696363468,RF,4625.663253625378,44.76259818731117,0.5768003819687666
rh,18.041631,v100m,32.938694,u10m,41.237260,rh,0.06418727137775333,rh,14.173784133483553,MLP,9723.122893727577,73.5494643903571,0.11043634845851646
u700p,9.164719,f100m,23.081728,v10m,26.190540,d10m,0.040330400331719425,d10m,10.167846364311409,,,,
u925p,9.111529,rh,22.202810,v925p,23.954030,v10m,0.027107419105341236,u700p,5.1514849667379075,,,,
d10m,7.553021,v925p,18.214251,f100m,20.451561,f100m,0.022479680328515786,d100m,5.151124926826018,,,,
g10m,5.358327,v850p,13.904285,u925p,19.055011,ws925p,0.021613544610290157,v10m,4.414767576727095,,,,
v10m,4.541238,d10m,12.745210,rh,15.935747,g10m,0.0190962802729482,rh700p,3.7823900736280125,,,,
ws925p,4.204185,wd850p,11.724138,wd850p,13.240288,v100m,0.01849238346570776,g10m,3.5703070821786898,,,,
v850p,2.988168,u925p,10.598522,v250p,13.150535,v925p,0.017644087124762314,f100m,3.3622383876345157,,,,
f100m,2.987656,v10m,9.551390,cbh,11.952891,d100m,0.01646064627335291,ws925p,3.3200996190391887,,,,
d100m,2.936629,cbh,9.544072,v850p,11.038433,v850p,0.015560208146773846,wd925p,2.797923558720237,,,,
rh700p,2.790838,u700p,9.075974,g10m,9.749032,tdwpt,0.014142404718600647,cbh,2.733828637603461,,,,
v925p,2.118410,ws925p,8.261312,ssrd0,9.185684,cbh,0.013529862715908347,v100m,2.580642251019059,,,,
wd925p,1.715419,d100m,6.399576,ws925p,9.162099,rh700p,0.013130595738370797,u925p,2.437144954435364,,,,
ssrd0,1.016683,wd925p,6.002514,d10m,7.716657,wd925p,0.012955704714829167,v250p,2.1808816998583436,,,,
v250p,0.922658,g10m,4.969532,wd925p,6.464090,u925p,0.012909035229401265,ssrd0,2.0991171916251883,,,,
wd850p,0.851776,tdwpt,4.732430,rh700p,5.845955,wd850p,0.011957881969813802,v850p,2.040389315425702,,,,
v100m,0.792524,v250p,4.708231,d100m,5.835672,ssrd0,0.01175522350610265,v925p,1.956658263801848,,,,
cbh,0.492481,rh700p,3.622549,u700p,5.283998,u700p,0.011506595088932002,wd850p,1.7829833160442854,,,,
tdwpt,0.411260,ssrd0,0.624630,tdwpt,5.212383,v250p,0.011180988641833556,tdwpt,1.5277179720418346,,,,
