Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
f10m,4.361897,f10m,2.010003,ws850p,2.508445,f10m,0.4584183096464137,f10m,1.9401219890881345,RF,15.274445234138975,2.9543927492447133,0.7047475015082414
g10m,2.265715,u850p,1.989984,f10m,2.286796,g10m,0.19067036112286545,g10m,1.9117788867702883,MLP,19.305557327465618,3.300749754833671,0.626826771883646
rh,0.729110,ws850p,1.684638,u850p,2.209219,v850p,0.032785287317599415,rh,0.7539850988303656,,,,
v850p,0.651173,g10m,1.602286,g10m,2.115219,rh,0.026179569244242095,v850p,0.5750382135181319,,,,
u10m,0.461770,rh,1.037394,rh,1.255835,f100m,0.02194059911580594,u10m,0.5046232131489209,,,,
u100m,0.295761,ws925p,0.946043,u10m,1.046256,ws850p,0.019274791518052864,u100m,0.4369955861794008,,,,
f100m,0.241601,v850p,0.725626,v925p,0.962235,ssrd0,0.011346503002086165,u850p,0.34449722691857604,,,,
u850p,0.203285,v925p,0.694566,v850p,0.895668,u10m,0.011343180861653632,ssrd0,0.3060649424525696,,,,
ssrd0,0.133329,u10m,0.628064,ws925p,0.773607,u100m,0.010380586339686476,ws850p,0.2802502482450006,,,,
rrr06,0.126918,f100m,0.497116,v700p,0.768787,ws700p,0.008539647400824565,f100m,0.2614201315820936,,,,
ws925p,0.100723,u100m,0.410314,u100m,0.655714,rrr06,0.008399329254575132,v925p,0.13333726017026698,,,,
ws850p,0.097891,cbh,0.303923,f100m,0.514351,v925p,0.008220274253600363,ws925p,0.129863028902366,,,,
v500p,0.079034,ssrd0,0.250236,ssrd0,0.482522,u850p,0.00784291595440385,rrr06,0.11948605669566573,,,,
v700p,0.074833,ws700p,0.243191,v500p,0.469899,lcldc,0.007386253508962017,sst,0.11747568408889997,,,,
v925p,0.073290,v700p,0.213451,rrr06,0.428005,sst,0.007227167624346104,v700p,0.07168157886701207,,,,
ws700p,0.072702,lcldc,0.209551,ws700p,0.300089,v700p,0.007208170828932522,ws700p,0.06985873086221717,,,,
cbh,0.061179,wd500p,0.160956,cbh,0.264201,v500p,0.006819022211700422,cbh,0.06131511024741079,,,,
sst,0.055272,rrr06,0.139975,lcldc,0.224144,cbh,0.00671706615245034,wd500p,0.05750992744745162,,,,
lcldc,0.048099,v500p,0.131355,wd500p,0.138493,ws925p,0.006624749939725543,v500p,0.04749461993396704,,,,
wd500p,0.035359,sst,0.026093,sst,0.082883,wd500p,0.00644761630028404,lcldc,0.04492207138675778,,,,
