Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
f10m,5.041236,f100m,2.858284,f100m,3.220085,f10m,0.40494737588720725,f10m,1.8612056371067949,RF,22.888364568731117,3.569455438066466,0.6784084400302846
g10m,2.325024,ws850p,1.851531,ws850p,2.292116,g10m,0.12831290968831927,g10m,1.7583379231891896,MLP,28.915481310987886,4.119051824073417,0.5937248065866829
v850p,1.306135,u100m,1.643812,u100m,2.148822,v850p,0.07560022719101689,u10m,0.965881653678995,,,,
rh,0.868950,g10m,1.481548,g10m,1.616880,u10m,0.04239074841730429,rh,0.9225455595708923,,,,
u10m,0.698498,u850p,1.274660,rh,1.616689,u100m,0.025494205911142605,v850p,0.8993292126807738,,,,
u100m,0.593074,u925p,1.263015,v925p,1.550905,rh,0.024465052260875038,u100m,0.7303025895947362,,,,
f100m,0.247291,rh,1.243072,u850p,1.349510,f100m,0.015358075477417141,d10m,0.4206606283508831,,,,
ssrd0,0.243908,v850p,0.997720,u925p,1.254387,ssrd0,0.01505478206307489,ssrd0,0.4062718607666559,,,,
d10m,0.209473,f10m,0.806178,u10m,0.991620,v925p,0.013954624596269179,f100m,0.3524290208224285,,,,
v700p,0.205968,v925p,0.737721,f10m,0.975307,ws850p,0.01319500260522096,u925p,0.25103700426898484,,,,
v925p,0.149141,u10m,0.680053,v850p,0.950632,d10m,0.011314342654202393,ws850p,0.2339307980351398,,,,
v500p,0.142844,v500p,0.629063,d10m,0.769601,v700p,0.009234345623939813,u850p,0.21851393492020021,,,,
u925p,0.126056,ws700p,0.522786,v500p,0.761900,v500p,0.008382499554654196,v700p,0.1705683821794164,,,,
u850p,0.125249,ssrd0,0.437445,vvvv,0.511378,u850p,0.008260800875958723,v925p,0.15431064189341112,,,,
ws700p,0.076916,u250p,0.297178,v250p,0.509169,u925p,0.008139062073225662,v250p,0.1537687826954337,,,,
ws850p,0.062203,v700p,0.295875,ssrd0,0.463995,ws700p,0.007779923606942098,ws700p,0.12664136848219412,,,,
v250p,0.054376,d10m,0.272970,v700p,0.437253,v250p,0.0076628358691701575,vvvv,0.11661072927328271,,,,
rh700p,0.050878,rh700p,0.238038,ws700p,0.410784,vvvv,0.007650081951009054,rh700p,0.11091749423002245,,,,
vvvv,0.023907,v250p,0.217488,u250p,0.237650,rh700p,0.007251314021885839,v500p,0.10729166118131879,,,,
u250p,0.019442,vvvv,0.179107,rh700p,0.144203,u250p,0.007201978181688327,u250p,0.07355750070553344,,,,
