Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
f10m,2.717286,u100m,1.567051,u100m,1.754456,f10m,0.4045127840644812,f10m,1.0234140175677084,RF,6.635798992447129,1.9215211480362537,0.6802209886162387
g10m,1.256777,f100m,1.497546,f100m,1.527104,g10m,0.12779940198593026,g10m,0.9438353144041376,MLP,7.434284660922568,2.0797826205585657,0.6417419813467592
v850p,0.708213,rh,0.889586,rh,1.074090,v850p,0.07628147510602447,u10m,0.5161782054860775,,,,
rh,0.467640,u925p,0.815041,ws850p,1.021457,u10m,0.04160381834125637,rh,0.4993659086026661,,,,
u10m,0.374145,ws850p,0.797818,g10m,0.996914,u100m,0.02686751438368992,v850p,0.4661422153462928,,,,
u100m,0.307730,g10m,0.764508,u10m,0.733493,rh,0.024062034233967626,u100m,0.3921081965229153,,,,
ssrd0,0.136484,u850p,0.744959,u925p,0.724509,f100m,0.01574168314791984,d10m,0.22857208628161782,,,,
f100m,0.126514,f10m,0.639494,u850p,0.655526,ssrd0,0.015565850944362818,ssrd0,0.22544661889670575,,,,
d10m,0.112640,u10m,0.617690,f10m,0.635011,ws850p,0.014124505380641259,f100m,0.17633059793316916,,,,
v700p,0.105917,v850p,0.480040,v925p,0.494315,v925p,0.013305974666651047,u925p,0.14501812011662016,,,,
v925p,0.080519,v500p,0.337208,vvvv,0.419474,d10m,0.011423905555370678,ws850p,0.12726703204124962,,,,
v500p,0.078399,vvvv,0.331552,v500p,0.362169,v700p,0.009180927700927013,u850p,0.12693732009379202,,,,
u925p,0.072334,ssrd0,0.300135,v850p,0.360899,u925p,0.008412669483765237,v700p,0.10244804596944013,,,,
u850p,0.072166,v925p,0.243975,ssrd0,0.327833,v500p,0.008373713761618082,v925p,0.085603172568389,,,,
ws850p,0.050289,ws700p,0.149242,v250p,0.315975,ws700p,0.007913686532048669,v250p,0.07641326467070092,,,,
ws700p,0.041132,d10m,0.119899,d10m,0.239554,u850p,0.007861524963099754,vvvv,0.05944509390803581,,,,
rh700p,0.030698,u250p,0.119689,u250p,0.145399,vvvv,0.007747589966957823,rh700p,0.058506624251764144,,,,
v250p,0.026149,v700p,0.081967,ws700p,0.138528,u250p,0.007274206487665728,ws700p,0.055248028363513745,,,,
u250p,0.014664,v250p,0.078138,v700p,0.109279,v250p,0.007111191632434399,v500p,0.05300759379400783,,,,
vvvv,0.014430,rh700p,0.072467,rh700p,0.040429,rh700p,0.007100638358488787,u250p,0.03559550209953985,,,,
