Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
t2mc,4.893119,t2mc,3.033294,t2mc,2.987347,t2mc,0.8996321253525505,t2mc,3.344798721457636,RF,1.8899215222697587,0.9893003271263208,0.9311909660063072
swdown,0.365649,tmc10m,2.004087,tmc10m,1.916895,swdown,0.011479745224824731,tmc10m,1.0854524563614008,MLP,1.8462176668983346,1.0117743397574948,0.9327821538066854
tmc10m,0.187218,swdown,0.677009,swdown,0.908725,tmc10m,0.007757501838849854,swdown,0.5547183926094842,,,,
wspk200m,0.163970,tdp10m,0.577940,wspk200m,0.801841,tmc500m,0.004904448793948712,tmc500m,0.20549408402120653,,,,
wspk115m,0.139580,wspk200m,0.497608,stb500m,0.442085,wspk200m,0.0036372913884272205,wspk200m,0.14220426045401174,,,,
wspk500m,0.111170,pblh,0.316663,tmc500m,0.413755,cldthk,0.0029340071470144087,tdp10m,0.10576762186806996,,,,
tmc500m,0.102002,tmc500m,0.291257,tdp10m,0.347365,wspk115m,0.0024494806911577877,wspk115m,0.10330496642219558,,,,
tmc850m,0.071670,lwdown,0.214151,pblh,0.273331,rhu850hPa,0.0022826629601217694,wspk500m,0.10171610671249633,,,,
stb500m,0.069320,stb500m,0.154351,vvv500hPa,0.203888,wspk500m,0.0022718462236489996,wspk500hPa,0.06936376331532615,,,,
rhu850hPa,0.066505,wspk500m,0.151390,wspk115m,0.199263,vvv500hPa,0.0019502882109820549,pblh,0.06672321177044954,,,,
vvv500hPa,0.057627,wspk500hPa,0.131263,wspk500m,0.186484,stb500m,0.0018313712852066275,rhu850hPa,0.06558678826766151,,,,
tdp10m,0.055300,wspk850hPa,0.113400,tmc850m,0.170634,tdp10m,0.0017637622812106551,cldthk,0.06173892780085853,,,,
cldthk,0.052339,tmc850m,0.097526,wspk500hPa,0.157910,rhu500hPa,0.0017521534103535471,stb500m,0.04782343697321881,,,,
wspk500hPa,0.048795,cldthk,0.062166,lwdown,0.137984,lwdown,0.001738082558336487,vvv500hPa,0.04775701235170633,,,,
pblh,0.041187,vvv500hPa,0.056488,wspk850hPa,0.136548,tmc850m,0.0016917251649728967,rhu500hPa,0.038542299569244945,,,,
rhu500hPa,0.028044,stb500hPa,0.055503,rhu850hPa,0.072975,pblh,0.001639994392802318,sfp,0.03204143658648002,,,,
wspk850hPa,0.027545,rhu850hPa,0.055482,rhu500hPa,0.064852,wspk500hPa,0.0015288013682057183,lwdown,0.028762996023157485,,,,
stb500hPa,0.014754,wspk115m,0.038964,cldthk,0.053604,stb500hPa,0.001509472803298298,wspk850hPa,0.02178486583880556,,,,
sfp,0.014134,sfp,0.031015,stb500hPa,0.033717,sfp,0.0014687531573624284,tmc850m,0.020227000812350848,,,,
lwdown,0.013739,rhu500hPa,0.022493,sfp,0.031951,wspk850hPa,0.0014042201153908703,stb500hPa,0.019359561145369727,,,,
