Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
t2mc,4.852348,tmc10m,2.444532,tmc10m,2.610375,t2mc,0.8770643062399063,t2mc,2.893661370491316,RF,1.9298955366620583,1.0006585335177967,0.930506938669734
swdown,0.508060,t2mc,2.049603,t2mc,2.189721,swdown,0.01962535144255919,tmc10m,1.0477381520007134,MLP,1.8787739108929107,1.0180571922520059,0.9323477628010872
tmc10m,0.227924,swdown,0.834544,swdown,1.204825,tmc10m,0.0073730858421265895,swdown,0.8301058948505013,,,,
wspk200m,0.199926,tdp10m,0.567004,tmc500m,0.581957,cldthk,0.006683925050792766,tmc500m,0.19437736826174118,,,,
wspk500m,0.158863,tmc500m,0.421892,wspk200m,0.497299,wspk200m,0.005567148388313902,tdp10m,0.1575435709624037,,,,
cldthk,0.123713,wspk200m,0.386976,tdp10m,0.462074,tmc500m,0.005103238876807634,wspk200m,0.1426554127375457,,,,
wspk115m,0.112938,wspk500m,0.288493,wspk500m,0.396511,wspk500m,0.003705512994847412,wspk500m,0.12831243298862643,,,,
uuu850hPa,0.107077,lwdown,0.269420,tmc850m,0.339957,lwdown,0.0030739438996381756,cldthk,0.10282591760201282,,,,
tdp10m,0.091603,pblh,0.245792,uuu850hPa,0.279692,vvv500hPa,0.0026059260379715154,wspk115m,0.08805596860666452,,,,
vvv500hPa,0.082692,uuu850hPa,0.225655,pblh,0.238149,wspk115m,0.0025006851675341,pblh,0.08745060036343245,,,,
rhu850hPa,0.069060,thw700hPa,0.206072,lwdown,0.191420,rhu850hPa,0.0024097134565727605,thw700hPa,0.0860890696765053,,,,
pblh,0.059499,tmc850m,0.200603,wspk115m,0.188798,pblh,0.002398810561859624,uuu850hPa,0.08428531593795431,,,,
tmc500m,0.054713,wspk850hPa,0.187730,thw700hPa,0.174417,tdp10m,0.0022629645976635017,lwdown,0.07234523117307513,,,,
thw700hPa,0.051339,vvv500hPa,0.093363,wspk850hPa,0.171771,uuu850hPa,0.0021689134190533937,rhu850hPa,0.061909310979486404,,,,
wspk850hPa,0.045021,wspk500hPa,0.066765,vvv500hPa,0.162432,wspk850hPa,0.00207395866599256,vvv500hPa,0.05666635606374952,,,,
wspk500hPa,0.039279,rhu850hPa,0.062770,cldthk,0.117248,stb500hPa,0.0016938207104045932,wspk500hPa,0.050621080211662964,,,,
lwdown,0.034874,sfp,0.048498,wspk500hPa,0.107889,sfp,0.0016022261062707828,tmc850m,0.04670944938641393,,,,
tmc850m,0.034499,stb500hPa,0.045793,rhu850hPa,0.083490,tmc850m,0.0015785663708857798,sfp,0.03283947450920845,,,,
stb500hPa,0.027921,cldthk,0.040922,stb500hPa,0.056753,wspk500hPa,0.0015677294585737178,wspk850hPa,0.03261388598380057,,,,
sfp,0.018449,wspk115m,0.040253,sfp,0.055227,thw700hPa,0.001556079568058072,stb500hPa,0.031186358137379168,,,,
