Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
uuu45m,38.959817,uuu10m,46.284191,uuu10m,41.463327,uuu45m,0.23248149846178648,wdr500m,12.420960789256872,RF,5323.22401475843,45.7425150981379,0.5166730192823421
uuu10m,27.830437,vvv10m,19.064978,vvv10m,22.865698,uuu60m,0.10822580887369213,swdown,11.819776936776327,MLP,6082.8270065291335,51.14416127218094,0.44770417267007057
uuu60m,19.419798,uuu500m,14.771752,vvv115m,15.552272,uuu10m,0.06324524502574266,uuu115m,11.708506787407158,,,,
swdown,13.860245,vvv115m,13.972625,uuu30m,15.363564,swdown,0.04873898015224762,uuu10m,9.90853382070968,,,,
uuu115m,13.660025,swdown,12.425934,swdown,13.882946,uuu115m,0.02663614049197769,uuu45m,8.772924690023302,,,,
uuu500m,10.821693,uuu30m,11.319780,vvv30m,12.291796,vvv10m,0.02307029558399952,vvv10m,7.9554431953753575,,,,
uuu850hPa,10.547071,uuu45m,8.572036,uuu45m,11.402049,stb500m,0.019961520590734104,uuu60m,6.930405637386705,,,,
vvv10m,9.802762,uuu75m,8.360593,uuu75m,8.196434,wdr500m,0.016029196551604064,uuu90m,6.918160343331835,,,,
uuu700hPa,9.623443,uuu90m,8.014742,uuu500m,8.038893,uuu850hPa,0.013176840875775666,uuu500m,5.785230796673731,,,,
stb500m,7.272092,stb500m,7.898330,uuu700hPa,7.982622,uuu30m,0.012711228954412755,uuu75m,4.624039828663549,,,,
t2mc,7.222630,uuu700hPa,7.458263,uuu90m,7.569410,t2mc,0.011961214716264419,t2mc,4.5227077642250855,,,,
uuu90m,5.694575,vvv30m,7.108293,stb500m,7.250296,uuu500m,0.011754539618122492,sfp,4.229020344862598,,,,
uuu30m,5.606110,t2mc,4.637680,uuu850hPa,4.687740,vvv500m,0.011636486320247006,stb500m,4.084876052644578,,,,
vvv30m,5.213191,pblh,3.056286,t2mc,4.666230,vvv115m,0.01131212359656337,uuu700hPa,3.835388689868049,,,,
vvv115m,5.105100,vvv500m,2.986216,vvv500m,4.400290,pblh,0.010887314856588814,uuu30m,3.7602864597039196,,,,
vvv500m,4.663676,uuu115m,2.969717,uuu115m,4.081448,sfp,0.010199858864596257,uuu850hPa,3.2041308496937235,,,,
uuu75m,4.339499,uuu850hPa,2.464686,uuu60m,2.630093,uuu90m,0.010060277023944164,vvv115m,3.091015554674064,,,,
wdr500m,3.778034,wdr500m,2.068382,pblh,2.126422,uuu75m,0.009818712712170007,vvv30m,2.843737645512625,,,,
sfp,3.623083,sfp,1.743008,wdr500m,1.914938,uuu700hPa,0.009596037601139699,pblh,2.4781644973462673,,,,
pblh,2.613065,uuu60m,0.589853,sfp,1.610250,vvv30m,0.009316319765856064,vvv500m,1.6413287073243337,,,,
