Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
wspk10m,5.237906,wspk500m,4.027965,wspk500m,4.857629,wspk10m,0.4974509250838126,mgust,1.2635437557910303,RF,16.807824414443886,3.0572979365878212,0.674384252112395
mgust,1.620395,wspk850hPa,2.333828,wspk850hPa,3.723250,mgust,0.06134230389962801,wspk10m,1.067558367219009,MLP,18.602428012283493,3.258144301773018,0.6396176351925893
wspk200m,0.806326,uuu500m,1.782394,uuu500m,3.677630,wspk200m,0.03582941393969306,uuu10m,0.6329575497548895,,,,
pblh,0.665070,wspk200m,1.547570,uuu850hPa,2.858283,pblh,0.02323317097214934,swdown,0.5926243880332968,,,,
swdown,0.580856,uuu850hPa,1.545455,vvv500m,2.455093,stb500m,0.01685403179558404,wspk115m,0.47609393435733643,,,,
uuu10m,0.528322,vvv500m,1.391315,wspk200m,2.358665,swdown,0.015208154895811257,pblh,0.47567392717423457,,,,
stb500m,0.429486,wspk115m,1.254657,wspk115m,1.981317,lapprs900hPa,0.01331524235323959,stb500m,0.4581234563767657,,,,
wspk115m,0.381332,uuu10m,1.152554,vvv850hPa,1.254682,wspk115m,0.011888682409785621,lapprs900hPa,0.4254487297448678,,,,
vvv500m,0.376460,mgust,1.063514,mgust,1.082151,uuu500m,0.011475199116101157,wspk200m,0.3809625941325345,,,,
lapprs900hPa,0.367630,wdr500m,0.693700,uuu10m,1.075709,wspk850hPa,0.01114170095146188,vvv850hPa,0.3391232322074007,,,,
wspk850hPa,0.325110,swdown,0.688344,lapprs900hPa,0.989931,vvv850hPa,0.010485225803827837,wspk850hPa,0.33902653157345686,,,,
laptmk900hPa,0.266262,stb500m,0.617801,laptmk900hPa,0.955549,laptmk900hPa,0.01039089359998809,wspk500hPa,0.31774328070993435,,,,
uuu500m,0.263045,lapprs900hPa,0.441199,stb500m,0.889868,uuu10m,0.010366089624984285,uuu500m,0.3155837803732252,,,,
wspk500m,0.250735,uuu500hPa,0.409515,www900hPa,0.826906,vvv500m,0.008938292267671524,wspk500m,0.2926216807446294,,,,
vvv850hPa,0.227080,vvv850hPa,0.359322,wdr500m,0.820453,wspk500m,0.008335333175322,laptmk900hPa,0.23721409259900295,,,,
www900hPa,0.178761,wspk10m,0.347492,swdown,0.797811,wspk500hPa,0.008295033250013262,wdr500m,0.23228266990455415,,,,
wdr500m,0.166154,wspk500hPa,0.291982,wspk500hPa,0.333112,uuu500hPa,0.008095499430604723,vvv500m,0.22556704961628007,,,,
wspk500hPa,0.165931,pblh,0.257445,uuu500hPa,0.202220,www900hPa,0.007976606474312548,uuu500hPa,0.19286296141368506,,,,
uuu850hPa,0.154630,laptmk900hPa,0.207083,pblh,0.192112,wdr500m,0.007775427405238163,uuu850hPa,0.13985598707285452,,,,
uuu500hPa,0.104979,www900hPa,0.206871,wspk10m,0.170713,uuu850hPa,0.007534731018344277,www900hPa,0.13590234084484393,,,,
