Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
wspk10m,6.222445,wspk10m,4.713561,wspk10m,5.165597,wspk10m,0.45814425552377924,wspk10m,1.289893900119722,RF,24.39445962015601,3.671522018117765,0.6603954580532982
wspk115m,0.972329,wspk850hPa,1.781952,vvv10m,2.638518,uuu10m,0.053400215354871626,uuu10m,1.0972785649907286,MLP,30.733036395333656,4.146614281958411,0.5721537221900612
pblh,0.950710,uuu30m,1.335704,uuu30m,2.599835,wspk115m,0.03012054292433638,mgust,0.7700468743578468,,,,
uuu10m,0.881067,vvv10m,1.246213,wspk115m,2.216485,pblh,0.023934369329214902,wspk200m,0.6424072154307109,,,,
vvv30m,0.650540,wspk115m,1.128307,uuu10m,2.088786,wspk200m,0.018084325304998934,swdown,0.6278379284600563,,,,
wspk200m,0.637806,mgust,1.101968,wspk850hPa,1.639894,stb500m,0.016194911274447256,pblh,0.6213040913418969,,,,
swdown,0.571882,vvv850hPa,1.022278,vvv850hPa,1.557502,mgust,0.016034974714890182,stb500m,0.601689761078384,,,,
stb500m,0.546335,uuu10m,0.991851,lapprs900hPa,1.460703,vvv500m,0.015646798915532393,wspk115m,0.5591625440127311,,,,
mgust,0.541218,wdr500m,0.876238,mgust,1.417491,uuu500m,0.014057854889701502,vvv850hPa,0.5523324227593137,,,,
vvv500m,0.478081,stb500m,0.805261,vvv30m,1.327098,vvv30m,0.012791770637038465,uuu500m,0.5195235718357808,,,,
uuu500m,0.437306,wspk200m,0.659233,wdr500m,1.220374,vvv850hPa,0.01119915300602424,wspk850hPa,0.41914821462115415,,,,
lapprs900hPa,0.412226,uuu500m,0.654588,stb500m,1.057776,uuu30m,0.010728486465332435,uuu500hPa,0.3858193773893906,,,,
vvv850hPa,0.350459,vvv500m,0.554105,wspk200m,0.937265,swdown,0.010500597173012187,vvv500m,0.3301318734606006,,,,
vvv10m,0.333550,swdown,0.492454,uuu500m,0.926534,uuu500hPa,0.010223033056489451,lapprs900hPa,0.32839789719348894,,,,
wspk850hPa,0.307850,laptmk900hPa,0.286908,laptmk900hPa,0.814399,vvv10m,0.009459750929116894,laptmk900hPa,0.27424588491858426,,,,
laptmk900hPa,0.289854,uuu500hPa,0.254320,swdown,0.635197,lapprs900hPa,0.009262811312114608,wdr500m,0.24920635443739655,,,,
uuu500hPa,0.209625,vvv30m,0.251385,vvv500m,0.575836,wspk850hPa,0.009179227397492605,vvv30m,0.22096214450949717,,,,
wdr500m,0.189229,itt,0.207953,itt,0.549318,wdr500m,0.00910358384551839,uuu30m,0.17410458136474374,,,,
itt,0.182465,lapprs900hPa,0.165080,uuu500hPa,0.521247,laptmk900hPa,0.009078394563374627,itt,0.1726029857413477,,,,
uuu30m,0.126087,pblh,0.153110,pblh,0.388100,itt,0.008518734141661426,vvv10m,0.10498241296598433,,,,
