Feature_PDP_RF,StdDev_PDP_RF,Feature_PDP_MLP,StdDev_PDP_MLP,Feature_Ale_MLP,Importance_Ale_MLP,Feature_RF,Importance_RF,Feature_AleRF,Importance_AleRF,Model,MSE,MAE,R2
wspk10m,3.363723,wspk10m,2.481843,wspk10m,2.860405,wspk10m,0.4604046670519169,wspk10m,0.6824683130666028,RF,7.141889702315049,1.9838648716658278,0.6589623178480162
wspk115m,0.519045,uuu30m,0.922537,uuu30m,1.669164,uuu10m,0.05230059624357775,uuu10m,0.5727853445388239,MLP,8.187027663441297,2.1434194503714825,0.6090551584478916
pblh,0.510865,wspk115m,0.881793,vvv10m,1.600461,wspk115m,0.03027637982488967,mgust,0.422906707683465,,,,
uuu10m,0.468850,mgust,0.587302,lapprs900hPa,1.184469,pblh,0.02393329000874613,swdown,0.341985951213887,,,,
vvv30m,0.358780,vvv10m,0.576326,uuu10m,0.984513,wspk200m,0.017964790258453614,wspk200m,0.34182341909241637,,,,
wspk200m,0.346967,wspk850hPa,0.554879,wspk115m,0.910177,stb500m,0.0161829568952721,pblh,0.33145526701427674,,,,
swdown,0.314827,uuu500m,0.412142,vvv850hPa,0.769521,vvv500m,0.015605586982121354,stb500m,0.3286343877471872,,,,
mgust,0.298606,stb500m,0.410923,wspk850hPa,0.722545,mgust,0.01548812120969476,wspk115m,0.29804788428484463,,,,
stb500m,0.294449,uuu10m,0.410691,mgust,0.548742,uuu500m,0.014325790008411029,vvv850hPa,0.2946022596333066,,,,
vvv500m,0.256982,swdown,0.400524,vvv30m,0.514675,vvv30m,0.012825529524455107,uuu500m,0.27769027855043765,,,,
uuu500m,0.239658,vvv30m,0.343699,swdown,0.478514,vvv850hPa,0.010972782601916859,wspk850hPa,0.22370181848181703,,,,
lapprs900hPa,0.224899,vvv850hPa,0.335118,uuu500m,0.469224,uuu30m,0.010891469341424266,uuu500hPa,0.20073881831179205,,,,
vvv850hPa,0.185250,wspk200m,0.267544,pblh,0.439376,swdown,0.010701221802128933,vvv500m,0.18263995896463506,,,,
vvv10m,0.176360,pblh,0.264683,stb500m,0.378296,uuu500hPa,0.010267772267635675,lapprs900hPa,0.17811491619911057,,,,
wspk850hPa,0.159378,vvv500m,0.244334,uuu500hPa,0.330635,vvv10m,0.009324929998027379,wdr500m,0.15051587798254304,,,,
laptmk900hPa,0.155070,uuu500hPa,0.226594,laptmk900hPa,0.315392,wspk850hPa,0.009262299337994816,laptmk900hPa,0.1490331378793544,,,,
uuu500hPa,0.109446,lapprs900hPa,0.226109,itt,0.283886,lapprs900hPa,0.00921111549892852,vvv30m,0.127029837076829,,,,
wdr500m,0.107380,wdr500m,0.190585,wspk200m,0.224092,laptmk900hPa,0.009080578770216773,itt,0.09554455436983016,,,,
itt,0.098252,itt,0.117682,wdr500m,0.182245,wdr500m,0.009042417525667264,uuu30m,0.0931742233256971,,,,
uuu30m,0.068804,laptmk900hPa,0.115947,vvv500m,0.143619,itt,0.00843162454671396,vvv10m,0.06033415847252511,,,,
