Station ID,MAE,MSE,MAE All,MSE All,Source
93110,3.27083412108014,19.704400599373333,"[3.213953117061666, 3.252849226310148, 3.2622739838613506, 3.285756846581656, 3.2881860313163553, 3.2574569171328243, 3.278146776074955, 3.3053055542841547, 3.2974641578000434, 3.3151471130099894, 3.2865033222324502, 3.2877609113803508, 3.3240632845702, 3.3102028034092856, 3.3507038545045997, 3.332189943607877, 3.3271970312852313, 3.295745043723402]","[18.877845253653224, 19.28565565741039, 19.372488338113858, 19.74970655566036, 19.778458491847974, 19.446844882035315, 19.83166112028585, 19.810244226730827, 19.93437345392785, 20.19839982000339, 20.224914258815488, 20.13820873985554, 20.35084971420544, 20.125572637192494, 20.65013594514295, 20.618717009242356, 20.831712806315245, 20.557866498283857]",base + topology
93245,3.304373236909171,19.8778517228801,"[3.302603164528953, 3.287008251919535, 3.2285886035017484, 3.2477597814856445, 3.285376843098448, 3.2766572240525638, 3.3369491035164476, 3.291775774332913, 3.2849287403571408, 3.2651304108974757, 3.3067570512348112, 3.325234554269431, 3.3801690888601006, 3.3542071866587864, 3.3149187018251647, 3.350132763898725, 3.3800837012316656, 3.378886861193815]","[19.659018378422534, 19.571019248342072, 19.099520258082496, 19.35809133689908, 19.60633478711612, 19.82698064983996, 20.250410984641782, 19.83572649501783, 19.738632440516266, 19.584587954041204, 19.638009376378157, 19.89310668656887, 20.606546930401166, 20.331126612345432, 20.05031237178367, 20.520180424993317, 20.59088865383449, 20.265716070345025]",base + topology
93439,4.543004447880656,37.43372867873877,"[4.4636132713773105, 4.4749943458876, 4.475329281331701, 4.530910159631753, 4.600474936104971, 4.559738665500501, 4.555346726132059, 4.542049372740505, 4.507316996649911, 4.54025610129656, 4.565564204495369, 4.560690599390883, 4.614123651369956, 4.6499266875170235, 4.641618888710947, 4.6060118516744835, 4.666309069020741, 4.67521477407687]","[35.865499127111356, 36.34142867785037, 36.057228337785276, 36.895837368018576, 38.135779449413036, 38.047386374305916, 37.93285511456677, 37.562066806766396, 36.73838299141317, 37.0098274445698, 37.16850568399118, 37.44710417717973, 38.367319237287234, 39.04020280843303, 39.01172351058368, 38.95224317654291, 39.931529868086834, 39.88674121580444]",base + topology
93781,3.4651765253300817,23.807860259681444,"[3.4418660531641923, 3.391736068792114, 3.4191886763315718, 3.456591417425812, 3.4243450972875276, 3.4405934413365244, 3.4534187621616454, 3.47925197077454, 3.4889973013772915, 3.5646310844552613, 3.537209490515773, 3.492351825029473, 3.4932797408432057, 3.4922879834076705, 3.508720555034799, 3.5588569195226856, 3.5769155035899356, 3.636714013713765]","[23.443317880850664, 22.76429309220536, 23.33593832506034, 23.661072366916155, 23.187050601334413, 23.395871822024915, 23.955170391905252, 23.98673853012597, 23.99821470399177, 25.050751961193274, 24.649425248047102, 24.41244043649117, 24.489540074082953, 24.53371841843531, 24.70911113126464, 24.971847651591872, 25.23786927816854, 25.493752315806915]",base + topology
93831,3.4176562060956805,23.19751902129223,"[3.3246630234094248, 3.321328608111042, 3.3094098240226053, 3.341627668521439, 3.3898590208851846, 3.4448492088219367, 3.4536975752089205, 3.4050210936389758, 3.4537764801853115, 3.4612355214282107, 3.483274613620215, 3.4773412618790434, 3.441485476658076, 3.476365727973175, 3.453945140532047, 3.4867343690994845, 3.4798803845721964, 3.4782233169787755]","[21.386407523155064, 21.333053524823242, 21.442819965858998, 21.857595478443013, 22.698451617616545, 22.731207654994574, 23.3714780659811, 23.06967746093562, 23.322177438546248, 23.753825228393985, 23.934937778831227, 24.177278335607415, 23.587247553379832, 24.088838990410757, 24.0346562818093, 24.38408673510794, 24.14672197202692, 23.688588234360907]",base + topology
93110,3.27083412108014,19.704400599373333,"[3.213953117061666, 3.252849226310148, 3.2622739838613506, 3.285756846581656, 3.2881860313163553, 3.2574569171328243, 3.278146776074955, 3.3053055542841547, 3.2974641578000434, 3.3151471130099894, 3.2865033222324502, 3.2877609113803508, 3.3240632845702, 3.3102028034092856, 3.3507038545045997, 3.332189943607877, 3.3271970312852313, 3.295745043723402]","[18.877845253653224, 19.28565565741039, 19.372488338113858, 19.74970655566036, 19.778458491847974, 19.446844882035315, 19.83166112028585, 19.810244226730827, 19.93437345392785, 20.19839982000339, 20.224914258815488, 20.13820873985554, 20.35084971420544, 20.125572637192494, 20.65013594514295, 20.618717009242356, 20.831712806315245, 20.557866498283857]",scaled-base + topology
93245,3.304373236909171,19.8778517228801,"[3.302603164528953, 3.287008251919535, 3.2285886035017484, 3.2477597814856445, 3.285376843098448, 3.2766572240525638, 3.3369491035164476, 3.291775774332913, 3.2849287403571408, 3.2651304108974757, 3.3067570512348112, 3.325234554269431, 3.3801690888601006, 3.3542071866587864, 3.3149187018251647, 3.350132763898725, 3.3800837012316656, 3.378886861193815]","[19.659018378422534, 19.571019248342072, 19.099520258082496, 19.35809133689908, 19.60633478711612, 19.82698064983996, 20.250410984641782, 19.83572649501783, 19.738632440516266, 19.584587954041204, 19.638009376378157, 19.89310668656887, 20.606546930401166, 20.331126612345432, 20.05031237178367, 20.520180424993317, 20.59088865383449, 20.265716070345025]",scaled-base + topology
93439,4.543004447880656,37.43372867873877,"[4.4636132713773105, 4.4749943458876, 4.475329281331701, 4.530910159631753, 4.600474936104971, 4.559738665500501, 4.555346726132059, 4.542049372740505, 4.507316996649911, 4.54025610129656, 4.565564204495369, 4.560690599390883, 4.614123651369956, 4.6499266875170235, 4.641618888710947, 4.6060118516744835, 4.666309069020741, 4.67521477407687]","[35.865499127111356, 36.34142867785037, 36.057228337785276, 36.895837368018576, 38.135779449413036, 38.047386374305916, 37.93285511456677, 37.562066806766396, 36.73838299141317, 37.0098274445698, 37.16850568399118, 37.44710417717973, 38.367319237287234, 39.04020280843303, 39.01172351058368, 38.95224317654291, 39.931529868086834, 39.88674121580444]",scaled-base + topology
93781,3.465176517487754,23.807860214933875,"[3.441866044141471, 3.3917360901185467, 3.4191886868580803, 3.45659142344096, 3.4243450881280983, 3.440593425751824, 3.4534187415187523, 3.4792519640758526, 3.488997292217862, 3.564631067093358, 3.537209469736172, 3.4923518045232878, 3.493279718012986, 3.492287957159754, 3.508720542731088, 3.5588569281352833, 3.576915503863351, 3.636714012209978]","[23.44331786045272, 22.764293141282472, 23.33593837807399, 23.66107231189709, 23.187050543539293, 23.395871733776602, 23.95517031650519, 23.986738518730707, 23.998214657226598, 25.050751843591836, 24.6494250919893, 24.412440361257943, 24.489540032961887, 24.533718353634637, 24.709111105320943, 24.97184761929757, 25.2378692700136, 25.493752262319415]",scaled-base + topology
93831,3.4176562060956805,23.19751902129223,"[3.3246630234094248, 3.321328608111042, 3.3094098240226053, 3.341627668521439, 3.3898590208851846, 3.4448492088219367, 3.4536975752089205, 3.4050210936389758, 3.4537764801853115, 3.4612355214282107, 3.483274613620215, 3.4773412618790434, 3.441485476658076, 3.476365727973175, 3.453945140532047, 3.4867343690994845, 3.4798803845721964, 3.4782233169787755]","[21.386407523155064, 21.333053524823242, 21.442819965858998, 21.857595478443013, 22.698451617616545, 22.731207654994574, 23.3714780659811, 23.06967746093562, 23.322177438546248, 23.753825228393985, 23.934937778831227, 24.177278335607415, 23.587247553379832, 24.088838990410757, 24.0346562818093, 24.38408673510794, 24.14672197202692, 23.688588234360907]",scaled-base + topology
