Station ID,MAE,MSE,MAE All,MSE All,Source
93110,2.455935430773361,9.819499190713428,"[2.3151339825783066, 2.4646060150088247, 2.694341615502161, 2.5719104381008004, 2.360181540569276, 2.295074520766281, 2.377875225052578, 2.4449483631221396, 2.6207016449848215, 2.694357405364059, 2.743973818262115, 2.6948900444817006, 2.400188290617847, 2.461993517766474, 2.4465507649283373, 2.508745030410419, 2.3892329907599286, 2.2416409295933843, 2.330193262609816, 2.3182294936580528, 2.4910500883146085, 2.7308241975216467, 2.516917476945251, 2.546288391288, 2.9146635113781647, 2.962023916681303, 2.974846880308545, 2.9208959537486696, 2.654188269670987, 2.730458450098983, 2.5615722427659366, 2.5137254729525726, 2.560669361726019, 2.211072234525026, 2.1669316903325435, 2.2126819053679014]","[9.592789473560954, 11.122540391310439, 12.461033051458937, 11.099597399022056, 9.215970899765228, 8.295577938118347, 8.813588477032656, 10.069374019221412, 11.18894853340877, 11.36679293678929, 11.8967674507547, 11.740452127023442, 9.899395065589193, 11.827323486433556, 11.893973012965555, 11.427883287804628, 10.195623206116645, 8.840086056611527, 8.835316150336002, 9.27444517124221, 11.242147026974585, 12.56463378666484, 10.856522075571961, 10.653943580466294, 13.918638695592774, 13.68198948723308, 14.833853304400243, 14.502662134168377, 11.505771021308245, 15.02160388125762, 12.27824718932223, 14.324233749511032, 11.169936618751915, 8.404312059664019, 7.750885831146416, 7.990471125107622]",base + topology
93245,2.511715490160579,10.68208438862531,"[2.5131766515833736, 2.5212713427216054, 2.5473909822129106, 2.399314342018302, 2.465281311792271, 2.5696282175661054, 2.564482621928207, 2.525842831516994, 2.5862917557927494, 2.8492463159197143, 2.826034292191949, 2.6638296942674473, 3.120233499730816, 2.6606868787576214, 2.6029812736365634, 2.4778286999418535, 2.545589766975577, 2.7639505193433704, 2.615943313918951, 2.5975544372587707, 2.6222810337561686, 2.9022235736895463, 2.913854945767624, 2.681934124822836, 2.7224200900274376, 2.5681088847968407, 2.568399252175679, 2.6354502472865375, 2.655365959560598, 2.627594313730721, 2.8240817572324337, 2.80609186587443, 2.917695187430346, 2.461248006165483, 2.2459971198598834, 2.28046609026785]","[10.462845067096328, 11.426902015807459, 10.727827939714807, 10.210759953475502, 9.922511419270542, 11.16900553495365, 11.956486007545157, 10.112413259881746, 11.250157503597244, 13.306534531057652, 12.903435792029352, 13.066966997876557, 16.229929581169447, 12.576668197979439, 10.406874253854292, 10.842225226796037, 10.093726869488012, 13.374115476467848, 12.607134896986746, 11.76231903748632, 11.724043311610899, 14.565993977055832, 14.161516088080768, 12.571307196559365, 12.257979243160456, 11.310319700572569, 10.594634195200653, 11.86424694731208, 12.033176727549634, 11.596834367065888, 13.227751659486419, 12.922247935895594, 13.107125458023592, 9.977822397827925, 9.239310375312412, 8.952449601808647]",base + topology
93439,3.6796757357044174,22.853265154700622,"[3.2850109811206307, 3.372177837564004, 3.550989535715056, 3.777054927666808, 4.00792447232735, 3.801366825620377, 3.808432541234521, 3.9631707779996943, 3.929526153700842, 3.732237387617902, 3.703148092495141, 3.819760264844059, 3.5308212623668505, 3.619376005253319, 3.7406127535819005, 3.3696599067613597, 3.524780120622297, 3.534496385640468, 3.7441215913895904, 3.618072248622802, 3.430775353162028, 3.7042997334502, 3.91776499620109, 3.816633112257507, 3.94670243246713, 3.8429067512917237, 3.8616383121899642, 4.128555303028061, 3.8048920608057633, 4.0583601992515135, 3.279317362739877, 3.3271862984426877, 4.513915325208191, 4.4819939933334645, 3.816269691941884, 3.6383161592294093]","[18.435793721873218, 18.619059790056905, 21.308964873333423, 24.002854043234606, 26.198218423615618, 24.68059076116988, 22.204550632931504, 26.074387973458478, 23.752737328720613, 22.776256179350348, 22.50790137763735, 25.02299422895151, 21.237369748783216, 22.113102135859535, 21.302425016075205, 20.644847745568146, 21.148780558314268, 21.93636192385978, 22.457356671990087, 21.851244182728795, 20.026740188795813, 22.434521945707576, 24.772683306779918, 23.595824573075767, 26.241296881015902, 24.04584042781774, 27.23345798932805, 25.772917143228472, 23.02388254073237, 26.443771557411765, 18.53152160784073, 19.19917943450629, 33.54971512088842, 31.89826228553413, 23.79555698983731, 23.545398870706208]",base + topology
93781,2.434618055096103,10.606718068684817,"[2.992613701086779, 3.014761626903826, 2.982419636066143, 3.205208702820998, 3.296306913082416, 3.302899288397568, 3.128173365348425, 3.2101018339548366, 3.1054417349741996, 3.1271241169709434, 2.893693372286284, 3.0468965947322366, 2.8624380927208155, 3.0110388392668477, 3.1803563976287843, 3.2896770939460187, 3.179653436220608, 3.124707261232229, 3.555260765735921, 3.3582541076953603, 3.152842782093929, 2.7798263175670925, 2.8820367427972653, 3.0394845914840682, 2.898933627055242, 3.0437631621727563, 2.7950767476742078, 3.0334860900732186, 3.0571575124447175, 2.8129267923648524, 3.06272903038905, 3.208518952589768, 3.255153240790733, 3.292792566372798, 2.7856435350271362, 2.4434450497994056]","[14.075039964528923, 15.365965183054568, 15.732740050204093, 17.385556501290594, 16.249434870947134, 17.300476955677045, 15.505199394719883, 16.525750348474997, 16.735264717776506, 17.852255697939665, 14.782698292453365, 15.476168673472223, 13.272082320006989, 16.847727044870165, 15.566796401598715, 18.357567441867673, 17.205959839182604, 18.2846003657537, 21.239372785776265, 20.569157833445885, 18.680620932898247, 15.117218845418602, 14.996293403500026, 16.478289907111364, 15.214872334555459, 16.794042740927956, 14.648322641043915, 16.80748744078236, 17.96947793907967, 14.76517030703893, 17.036955095602437, 16.915428105440157, 17.032830271409438, 16.7245891547761, 12.703979189053655, 10.252784393095503]",base + topology
93831,2.5165415217720524,10.979731603511034,"[2.8294726116966666, 2.8601236416183338, 2.8976706872459586, 2.72911367052384, 2.8547409825652617, 2.7361824719960457, 2.7449641289601785, 2.805462539469012, 2.4906648060747685, 2.5527840101081893, 2.554181959064862, 2.7767637733284745, 2.823389893815718, 2.769555716114189, 2.731257809937455, 3.088206803343678, 2.9806848391321767, 2.9222823073845783, 2.7468995374577663, 2.6243555487567236, 2.6783916990265597, 2.47207675234962, 2.428163757033021, 2.774593416485775, 2.566201560309217, 2.660969797527516, 2.6316467994952024, 2.864303608887069, 2.7189405459484077, 2.6813797754185797, 2.6222864496798914, 2.4398770103017795, 2.9041047008892966, 2.8126859675836933, 2.9042198639789603, 3.066301605719645]","[13.56317010658473, 14.01185709610531, 14.633182586426676, 13.904603359855184, 14.323126395681474, 13.220863053019803, 11.908437917357883, 12.212899802554173, 10.79688571878649, 10.306649143198594, 11.451006376916144, 14.314774426493585, 13.32155382839456, 13.733931685321291, 13.958360101478371, 16.272171615694898, 14.940304176751125, 14.098086425196547, 13.23282635910361, 11.46737350741837, 11.891718168246552, 10.515251859679763, 9.852484743671722, 13.8866735494126, 11.739124652291224, 12.521848539162129, 12.009959266141454, 14.808892286690757, 12.750833291601095, 11.95583517142949, 11.558714963568754, 9.737710365669315, 13.095785858941197, 12.166118023655644, 14.214396641406779, 15.272826529224636]",base + topology
93110,2.455935430773361,9.819499190713428,"[2.3151339825783066, 2.4646060150088247, 2.694341615502161, 2.5719104381008004, 2.360181540569276, 2.295074520766281, 2.377875225052578, 2.4449483631221396, 2.6207016449848215, 2.694357405364059, 2.743973818262115, 2.6948900444817006, 2.400188290617847, 2.461993517766474, 2.4465507649283373, 2.508745030410419, 2.3892329907599286, 2.2416409295933843, 2.330193262609816, 2.3182294936580528, 2.4910500883146085, 2.7308241975216467, 2.516917476945251, 2.546288391288, 2.9146635113781647, 2.962023916681303, 2.974846880308545, 2.9208959537486696, 2.654188269670987, 2.730458450098983, 2.5615722427659366, 2.5137254729525726, 2.560669361726019, 2.211072234525026, 2.1669316903325435, 2.2126819053679014]","[9.592789473560954, 11.122540391310439, 12.461033051458937, 11.099597399022056, 9.215970899765228, 8.295577938118347, 8.813588477032656, 10.069374019221412, 11.18894853340877, 11.36679293678929, 11.8967674507547, 11.740452127023442, 9.899395065589193, 11.827323486433556, 11.893973012965555, 11.427883287804628, 10.195623206116645, 8.840086056611527, 8.835316150336002, 9.27444517124221, 11.242147026974585, 12.56463378666484, 10.856522075571961, 10.653943580466294, 13.918638695592774, 13.68198948723308, 14.833853304400243, 14.502662134168377, 11.505771021308245, 15.02160388125762, 12.27824718932223, 14.324233749511032, 11.169936618751915, 8.404312059664019, 7.750885831146416, 7.990471125107622]",scaled-base + topology
93245,2.511715490160579,10.68208438862531,"[2.5131766515833736, 2.5212713427216054, 2.5473909822129106, 2.399314342018302, 2.465281311792271, 2.5696282175661054, 2.564482621928207, 2.525842831516994, 2.5862917557927494, 2.8492463159197143, 2.826034292191949, 2.6638296942674473, 3.120233499730816, 2.6606868787576214, 2.6029812736365634, 2.4778286999418535, 2.545589766975577, 2.7639505193433704, 2.615943313918951, 2.5975544372587707, 2.6222810337561686, 2.9022235736895463, 2.913854945767624, 2.681934124822836, 2.7224200900274376, 2.5681088847968407, 2.568399252175679, 2.6354502472865375, 2.655365959560598, 2.627594313730721, 2.8240817572324337, 2.80609186587443, 2.917695187430346, 2.461248006165483, 2.2459971198598834, 2.28046609026785]","[10.462845067096328, 11.426902015807459, 10.727827939714807, 10.210759953475502, 9.922511419270542, 11.16900553495365, 11.956486007545157, 10.112413259881746, 11.250157503597244, 13.306534531057652, 12.903435792029352, 13.066966997876557, 16.229929581169447, 12.576668197979439, 10.406874253854292, 10.842225226796037, 10.093726869488012, 13.374115476467848, 12.607134896986746, 11.76231903748632, 11.724043311610899, 14.565993977055832, 14.161516088080768, 12.571307196559365, 12.257979243160456, 11.310319700572569, 10.594634195200653, 11.86424694731208, 12.033176727549634, 11.596834367065888, 13.227751659486419, 12.922247935895594, 13.107125458023592, 9.977822397827925, 9.239310375312412, 8.952449601808647]",scaled-base + topology
93439,3.6796757357044174,22.853265154700622,"[3.2850109811206307, 3.372177837564004, 3.550989535715056, 3.777054927666808, 4.00792447232735, 3.801366825620377, 3.808432541234521, 3.9631707779996943, 3.929526153700842, 3.732237387617902, 3.703148092495141, 3.819760264844059, 3.5308212623668505, 3.619376005253319, 3.7406127535819005, 3.3696599067613597, 3.524780120622297, 3.534496385640468, 3.7441215913895904, 3.618072248622802, 3.430775353162028, 3.7042997334502, 3.91776499620109, 3.816633112257507, 3.94670243246713, 3.8429067512917237, 3.8616383121899642, 4.128555303028061, 3.8048920608057633, 4.0583601992515135, 3.279317362739877, 3.3271862984426877, 4.513915325208191, 4.4819939933334645, 3.816269691941884, 3.6383161592294093]","[18.435793721873218, 18.619059790056905, 21.308964873333423, 24.002854043234606, 26.198218423615618, 24.68059076116988, 22.204550632931504, 26.074387973458478, 23.752737328720613, 22.776256179350348, 22.50790137763735, 25.02299422895151, 21.237369748783216, 22.113102135859535, 21.302425016075205, 20.644847745568146, 21.148780558314268, 21.93636192385978, 22.457356671990087, 21.851244182728795, 20.026740188795813, 22.434521945707576, 24.772683306779918, 23.595824573075767, 26.241296881015902, 24.04584042781774, 27.23345798932805, 25.772917143228472, 23.02388254073237, 26.443771557411765, 18.53152160784073, 19.19917943450629, 33.54971512088842, 31.89826228553413, 23.79555698983731, 23.545398870706208]",scaled-base + topology
93781,2.434618055096103,10.606718068684817,"[2.992613701086779, 3.014761626903826, 2.982419636066143, 3.205208702820998, 3.296306913082416, 3.302899288397568, 3.128173365348425, 3.2101018339548366, 3.1054417349741996, 3.1271241169709434, 2.893693372286284, 3.0468965947322366, 2.8624380927208155, 3.0110388392668477, 3.1803563976287843, 3.2896770939460187, 3.179653436220608, 3.124707261232229, 3.555260765735921, 3.3582541076953603, 3.152842782093929, 2.7798263175670925, 2.8820367427972653, 3.0394845914840682, 2.898933627055242, 3.0437631621727563, 2.7950767476742078, 3.0334860900732186, 3.0571575124447175, 2.8129267923648524, 3.06272903038905, 3.208518952589768, 3.255153240790733, 3.292792566372798, 2.7856435350271362, 2.4434450497994056]","[14.075039964528923, 15.365965183054568, 15.732740050204093, 17.385556501290594, 16.249434870947134, 17.300476955677045, 15.505199394719883, 16.525750348474997, 16.735264717776506, 17.852255697939665, 14.782698292453365, 15.476168673472223, 13.272082320006989, 16.847727044870165, 15.566796401598715, 18.357567441867673, 17.205959839182604, 18.2846003657537, 21.239372785776265, 20.569157833445885, 18.680620932898247, 15.117218845418602, 14.996293403500026, 16.478289907111364, 15.214872334555459, 16.794042740927956, 14.648322641043915, 16.80748744078236, 17.96947793907967, 14.76517030703893, 17.036955095602437, 16.915428105440157, 17.032830271409438, 16.7245891547761, 12.703979189053655, 10.252784393095503]",scaled-base + topology
93831,2.5165415217720524,10.979731603511034,"[2.8294726116966666, 2.8601236416183338, 2.8976706872459586, 2.72911367052384, 2.8547409825652617, 2.7361824719960457, 2.7449641289601785, 2.805462539469012, 2.4906648060747685, 2.5527840101081893, 2.554181959064862, 2.7767637733284745, 2.823389893815718, 2.769555716114189, 2.731257809937455, 3.088206803343678, 2.9806848391321767, 2.9222823073845783, 2.7468995374577663, 2.6243555487567236, 2.6783916990265597, 2.47207675234962, 2.428163757033021, 2.774593416485775, 2.566201560309217, 2.660969797527516, 2.6316467994952024, 2.864303608887069, 2.7189405459484077, 2.6813797754185797, 2.6222864496798914, 2.4398770103017795, 2.9041047008892966, 2.8126859675836933, 2.9042198639789603, 3.066301605719645]","[13.56317010658473, 14.01185709610531, 14.633182586426676, 13.904603359855184, 14.323126395681474, 13.220863053019803, 11.908437917357883, 12.212899802554173, 10.79688571878649, 10.306649143198594, 11.451006376916144, 14.314774426493585, 13.32155382839456, 13.733931685321291, 13.958360101478371, 16.272171615694898, 14.940304176751125, 14.098086425196547, 13.23282635910361, 11.46737350741837, 11.891718168246552, 10.515251859679763, 9.852484743671722, 13.8866735494126, 11.739124652291224, 12.521848539162129, 12.009959266141454, 14.808892286690757, 12.750833291601095, 11.95583517142949, 11.558714963568754, 9.737710365669315, 13.095785858941197, 12.166118023655644, 14.214396641406779, 15.272826529224636]",scaled-base + topology
